Final Boss Esports,1393288661935591434,,,,,,100
MetaShift,1391486538432643212,,,,,,100
To The Moon,1393291633268621494,,,,,,100
Literal Monkeys,1393291693444435978,,,,,,100
Silversong,1393291706404704307,,,,,,100
The Fierce Force,1393291709546500169,,,,,,100
Legacy Esports,1393291717226139649,,,,,,100
Dorado Gaming,1393291721949057226,,,,,,100
XSV,1393291724259856384,,,,,,100
Definitely Not Esports,1393291719771951246,,,,,begfourmercy,72
Iridescent Dawn,1393291712272797706,,,,,,100
Divine Ascension,1393291714822799522,,,,,,100
